>CM003214.1 Capra aegagrus isolate BamuBGIKM chromosome 1, whole genome shotgun sequence
>CM003215.1 Capra aegagrus isolate BamuBGIKM chromosome 2, whole genome shotgun sequence
>CM003216.1 Capra aegagrus isolate BamuBGIKM chromosome 3, whole genome shotgun sequence
>CM003217.1 Capra aegagrus isolate BamuBGIKM chromosome 4, whole genome shotgun sequence
>CM003218.1 Capra aegagrus isolate BamuBGIKM chromosome 5, whole genome shotgun sequence
>CM003219.1 Capra aegagrus isolate BamuBGIKM chromosome 6, whole genome shotgun sequence
>CM003220.1 Capra aegagrus isolate BamuBGIKM chromosome 7, whole genome shotgun sequence
>CM003221.1 Capra aegagrus isolate BamuBGIKM chromosome 8, whole genome shotgun sequence
>CM003222.1 Capra aegagrus isolate BamuBGIKM chromosome 9, whole genome shotgun sequence
>CM003223.1 Capra aegagrus isolate BamuBGIKM chromosome 10, whole genome shotgun sequence
>CM003225.1 Capra aegagrus isolate BamuBGIKM chromosome 11, whole genome shotgun sequence
>CM003226.1 Capra aegagrus isolate BamuBGIKM chromosome 12, whole genome shotgun sequence
>CM003227.1 Capra aegagrus isolate BamuBGIKM chromosome 13, whole genome shotgun sequence
>CM003228.1 Capra aegagrus isolate BamuBGIKM chromosome 14, whole genome shotgun sequence
>CM003229.1 Capra aegagrus isolate BamuBGIKM chromosome 15, whole genome shotgun sequence
>CM003230.1 Capra aegagrus isolate BamuBGIKM chromosome 16, whole genome shotgun sequence
>CM003231.1 Capra aegagrus isolate BamuBGIKM chromosome 17, whole genome shotgun sequence
>CM003232.1 Capra aegagrus isolate BamuBGIKM chromosome 18, whole genome shotgun sequence
>CM003233.1 Capra aegagrus isolate BamuBGIKM chromosome 19, whole genome shotgun sequence
>CM003234.1 Capra aegagrus isolate BamuBGIKM chromosome 20, whole genome shotgun sequence
>CM003235.1 Capra aegagrus isolate BamuBGIKM chromosome 21, whole genome shotgun sequence
>CM003236.1 Capra aegagrus isolate BamuBGIKM chromosome 22, whole genome shotgun sequence
>CM003237.1 Capra aegagrus isolate BamuBGIKM chromosome 23, whole genome shotgun sequence
>CM003238.1 Capra aegagrus isolate BamuBGIKM chromosome 24, whole genome shotgun sequence
>CM003239.1 Capra aegagrus isolate BamuBGIKM chromosome 25, whole genome shotgun sequence
>CM003240.1 Capra aegagrus isolate BamuBGIKM chromosome 26, whole genome shotgun sequence
>CM003241.1 Capra aegagrus isolate BamuBGIKM chromosome 27, whole genome shotgun sequence
>CM003242.1 Capra aegagrus isolate BamuBGIKM chromosome 28, whole genome shotgun sequence
>CM003243.1 Capra aegagrus isolate BamuBGIKM chromosome 29, whole genome shotgun sequence
>CM003224.1 Capra aegagrus isolate BamuBGIKM chromosome X, whole genome shotgun sequence
>CM003213.1 Capra aegagrus isolate BamuBGIKM chromosome Y, whole genome shotgun sequence
